[DEBUG]	2022-02-03 11:35:15.711	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":23}
[DEBUG]	2022-02-03 11:35:15.760	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:15.784	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":24}
[DEBUG]	2022-02-03 11:35:15.848	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:15.858	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":25}
[DEBUG]	2022-02-03 11:35:15.914	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:15.923	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":26}
[WARN]	2022-02-03 11:35:15.973	ControlCalculate	edwolqtsym send null result
[ERROR]	2022-02-03 11:35:15.975	ControlCalculate	Error post result from edwolqtsym
[DEBUG]	2022-02-03 11:35:15.991	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":27}
[DEBUG]	2022-02-03 11:35:16.041	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:16.057	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":28}
[WARN]	2022-02-03 11:35:16.108	ControlCalculate	edwolqtsym send null result
[ERROR]	2022-02-03 11:35:16.109	ControlCalculate	Error post result from edwolqtsym
[DEBUG]	2022-02-03 11:35:16.130	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":29}
[WARN]	2022-02-03 11:35:16.194	ControlCalculate	edwolqtsym send null result
[ERROR]	2022-02-03 11:35:16.196	ControlCalculate	Error post result from edwolqtsym
[DEBUG]	2022-02-03 11:35:16.209	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":30}
[DEBUG]	2022-02-03 11:35:16.258	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:16.273	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":31}
[DEBUG]	2022-02-03 11:35:16.323	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:16.342	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":32}
[DEBUG]	2022-02-03 11:35:16.374	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:16.390	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":33}
[DEBUG]	2022-02-03 11:35:16.424	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:16.440	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":34}
[DEBUG]	2022-02-03 11:35:16.475	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:16.489	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":20}
[DEBUG]	2022-02-03 11:35:16.525	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:16.540	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":35}
[DEBUG]	2022-02-03 11:35:16.576	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:16.591	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":36}
[DEBUG]	2022-02-03 11:35:16.627	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:16.641	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":37}
[DEBUG]	2022-02-03 11:35:16.674	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:16.690	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":38}
[DEBUG]	2022-02-03 11:35:16.724	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:16.751	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":39}
[DEBUG]	2022-02-03 11:35:16.791	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:16.807	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":40}
[DEBUG]	2022-02-03 11:35:16.842	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:16.870	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":41}
[DEBUG]	2022-02-03 11:35:16.906	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:16.922	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":42}
[DEBUG]	2022-02-03 11:35:16.956	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:16.972	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":26}
[DEBUG]	2022-02-03 11:35:17.008	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:17.023	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":43}
[WARN]	2022-02-03 11:35:17.057	ControlCalculate	edwolqtsym send null result
[ERROR]	2022-02-03 11:35:17.059	ControlCalculate	Error post result from edwolqtsym
[DEBUG]	2022-02-03 11:35:17.087	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":28}
[DEBUG]	2022-02-03 11:35:17.123	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:17.140	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":29}
[DEBUG]	2022-02-03 11:35:17.174	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:17.190	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":44}
[DEBUG]	2022-02-03 11:35:17.241	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:17.270	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":45}
[DEBUG]	2022-02-03 11:35:17.316	ControlCalculate	Client:edwolqtsym post resultat
[DEBUG]	2022-02-03 11:35:17.339	ControlCalculate	Client:edwolqtsym get task:{"sceneKey":"pilylunfylgpxgjnrinf","frame":0,"line":46}
